Category,restuaurants,rating,location_data,food_price,offer_data,food_item
dinner,Harry's The Pub,4.0,Ameerpet,800,55% Off,"Finger Food, Cocktail Menu"
dinner,ZYTHUM Brewing Co.,5.0,Jubilee Hills,1000,50% Off,Multicuisine
dinner,Medley,3.8,Courtyard By Marriott,2000,55% Off,Multicuisine
dinner,Rasa by Ashoka,4.0,Jubilee Hills,800,35% Off,Indian
dinner,Aqua ,2.0,Banjara Hills,1200,75% Off,"Cocktail Menu, Finger Food"
dinner,Bar 41 ,1.0,Ameerpet,400,40% Off,"Finger Food, Cocktail Menu"
dinner,Kasuall,3.9,ITC Kakatiya,2600,55% Off,Multicuisine
dinner,The Dining Room,4.5,Banjara Hills,1850,25% Off,Multicuisine
dinner,Verandah ,4.5,Jubilee Hills,800,55% Off,Multicuisine
dinner,Kuchipudi,4.0,Banjara Hills,400,50% Off,South Indian
dinner,Aish,5.0,Banjara Hills,900,40% Off,"Indian, South Indian"
dinner,"Tre forni, Italian Restaurant & Bar",4.5,Jubilee Hills,1200,40% Off,Italian
dinner,Kabul Darbar,4.0,Banjara Hills,350,40% Off,"Arabian, Afghani"
dinner,Tolly Junction Rest O Bar,5.0,Jubilee Hills,1400,35% Off,Multicuisine
dinner,Cayenne ,4.0,Banjara Hills,1000,25% Off,Multicuisine
dinner,TOS Club & Lounge,4.6,Lakdikapul,900,35% Off,Multicuisine
dinner,Rika ,4.5,Banjara Hills,1100,35% Off,"Japanese, Asian"
dinner,Sankalp Restaurant ,4.3,Panjagutta,1500,35% Off,South Indian
dinner,The Sicca Bar,4.1,Somajiguda,1150,35% Off,"Cocktail Menu, Finger Food"
dinner,By The Bay,4.0,Park Continental,800,35% Off,"Cocktail Menu, Multicuisine"
dinner,Masala Republic by Dadu's,3.0,Jubilee Hills,800,40% Off,Multicuisine
dinner,Rayalaseema Ruchulu,3.8,Madhapur,1800,40% Off,"Andhra, South Indian"
dinner,The Terrace,4.3,ITC Kakatiya,2700,25% Off,Multicuisine
dinner,24/7 Gallery Café,3.3,Banjara Hills,1500,35% Off,Multicuisine
dinner,Jewel of Nizam,4.0,Banjara Hills,300,25% Off,Indian
dinner,Palace Heights,3.3,Khairatabad,800,35% Off,Multicuisine
dinner,Once Upon A Time ,4.0,Banjara Hills,600,25% Off,Indian
dinner,Tulips,4.8,Jubilee Hills,800,25% Off,Multicuisine
dinner,Kismet ,4.6,The Westin Hyderabad Mindspace,3000,40% Off,"Finger Food, Cocktail Menu"
dinner,Mandi King Elite Arabian Restaurant,4.1,Sheraton Hyderabad Hotel,2400,55% Off,Arabian
dinner,Sync Resto Bar,3.2,Ibis Hotel,1400,75% Off,Indian
dinner,Little Italy,4.0,Amberpet,500,55% Off,"Mexican, Italian"
dinner,10 Biryanis,1.0,Panjagutta,550,25% Off,"North Indian, Mughlai"
dinner,Rium Cafe,4.0,Hotel Central Park,800,55% Off,"Continental, Chinese"
dinner,Kebabs & Kurries,5.0,Himayath Nagar,600,50% Off,Indian
dinner,Flavours ,1.0,Begumpet,900,45% Off,Multicuisine
dinner,Melange ,3.9,Gachibowli,1200,60% Off,"Multicuisine, Barbeque"
dinner,Barbeque Nation,4.5,Himayath Nagar,1100,45% Off,Multicuisine
dinner,MOB - Belgium Beer House,4.3,Le Méridien Hyderabad,1900,55% Off,Multicuisine
dinner,Bikanervala,4.6,Hitech City,1500,50% Off,South Indian
dinner,Dakshin,3.7,Le Méridien Hyderabad,2000,50% Off,Barbeque
dinner,Barbeque Spice,4.0,Royalton Hotel,1000,50% Off,Multicuisine
dinner,The Fifth Street,3.8,The Peerless Inn,800,50% Off,Turkish
dinner,Zouq ,4.5,Jubilee Hills,1000,65% Off,"Multicuisine, Barbeque"
dinner,AB's - Absolute Barbecues,4.0,Gachibowli,400,45% Off,Biryani
dinner,Paradise Biryani - A Legend since 1953,4.0,Hotel Quality Inn Residency,1200,45% Off,Multicuisine
dinner,Garage Moto Cafe,4.2,Ellaa Hotels,1500,50% Off,"Finger Food, Cocktail Menu"
dinner,Jolly Bros and Co.,5.0,Jubilee Hills,800,55% Off,Multicuisine
dinner,FEU - Dessert Bar & Kitchen,3.3,Jubilee Hills,1100,35% Off,Multicuisine
dinner,The Palm Banjara,4.2,Jubilee Hills,800,55% Off,Indian
dinner,Kadali Kitchen,3.8,Gachibowli,1600,45% Off,Multicuisine
dinner,Seventh Heaven,5.0,Nanakramguda,500,35% Off,Momos
dinner,Wow! Momo,4.3,Fairfield by Marriott Hyderabad,2800,55% Off,Multicuisine
dinner,Urban Nemo Cafe In Garden,4.0,Kukatpally,700,55% Off,Multicuisine
dinner,Deccan Pavilion,4.0,Hafeezpet,800,45% Off,Multicuisine
dinner,Arabian Nights Mandi Restaurant,4.3,Royalton Hotel,1200,55% Off,Multicuisine
dinner,MoMo Cafe,2.7,Hitech City,2100,50% Off,Multicuisine
dinner,Miami Galley Cafe,3.4,Kondapur,800,50% Off,Tex-Mex
dinner,Chili's American Grill & Bar,4.3,Gachibowli,1000,45% Off,South Indian
dinner,Dakshin Haveli,4.4,Radisson Hyderabad Hitec City,2000,45% Off,"Cocktail Menu, Multicuisine"
dinner,Fly - Feel The High,5.0,Jubilee Hills,1200,45% Off,Multicuisine
dinner,Golden Pavilion,5.0,Peeramcheru,600,35% Off,Continental
dinner,The Gallery Cafe,4.0,Gachibowli,1000,45% Off,South Indian
dinner,Telugu Table,5.0,Kukatpally,1000,45% Off,Multicuisine
dinner,Masala Republic by Dadu's,4.5,Le Méridien Hyderabad,1800,55% Off,"Chinese, Continental"
dinner,Navika Cafe,4.7,Sheraton Hyderabad Hotel,2000,50% Off,Multicuisine
dinner,Hoist | Bar & Kitchen,4.0,Begumpet,1200,55% Off,Desserts
dinner,Krispy Kreme,5.0,The Westin Hyderabad Mindspace,3000,40% Off,Fast Food
dinner,Cups N Plates,4.0,Jubilee Hills,1100,35% Off,Multicuisine
dinner,Kritunga The Palegars Cuisine,4.5,Kukatpally,1500,40% Off,Multicuisine
dinner,Bel Posto The Cafe,3.8,The Golkonda Resort,1800,45% Off,Multicuisine
dinner,Okra,3.5,Hotel Avasa,2000,40% Off,"Italian, European, Bakery"
dinner,The Bedford BakeHouse & TeaRoom,4.4,Novotel Hyderabad Convention Centre,2500,40% Off,Italian
dinner,Esthio,4.0,Serilingampalle,800,55% Off,"Finger Food, Cocktail Menu"
dinner,Insomnia,4.1,Jubilee Hills,1500,45% Off,"Chinese, Indian"
dinner,Ming Ustad,4.0,Kondapur,800,45% Off,Multicuisine
dinner,Params Kitchen & Cafe,4.0,Jubilee Hills,1500,35% Off,Multicuisine
dinner,Banjara9 Multi Cuisine Restaurant,4.0,Madhapur,1300,45% Off,Indian
dinner,Deccan Cafe Restaurant ,4.6,Novotel Hyderabad Convention Centre,1500,40% Off,Multicuisine
dinner,Chandra Haveli,5.0,Kavadiguda,300,40% Off,"Finger Food, Cocktail Menu"
dinner,Sounds & Spirits,5.0,Madhapur,1195,40% Off,Multicuisine
dinner,Bharpur Multicusine Family Restaurant,4.2,Kompally,900,40% Off,Finger Food
dinner,Moonlight Bar,5.0,Hitech City,800,55% Off,Multicuisine
dinner,Scotchman,4.5,Jubilee Hills,1800,40% Off,Multicuisine
dinner,Pavilion,4.5,Gachibowli,2000,35% Off,Finger Food
dinner,Marco Polo Bar,4.3,Kukatpally,1000,65% Off,"Beverages, Fast Food, Desserts"
dinner,Candy cloud factory,4.0,Kompally,500,50% Off,Multicuisine
dinner,Flechazo Gold,4.3,Fairfield by Marriott Hyderabad,2000,40% Off,Multicuisine
dinner,Hyderabad Mandi Restaurant ,2.5,Hitech City,1300,40% Off,Multicuisine
dinner,ZING - Sky Bar + Lounge,1.0,Jubilee Hills,1000,25% Off,Italian
dinner,Onesta,4.0,Madeenaguda,800,40% Off,Multicuisine
dinner,Promenade,4.2,Jubilee Hills,1400,35% Off,Multicuisine
dinner,Aroma Multi Cuisine Restaurant,4.6,Kukatpally,1000,45% Off,"Fast Food, Desserts"
dinner,Frosty Den,4.0,Hotel Jubilee Ridge,1100,40% Off,Multicuisine
dinner,Connect,4.0,Secunderabad,700,40% Off,"Finger Food, Cocktail Menu"
dinner,The Library Bar,4.0,Madhapur,350,40% Off,Multicuisine
dinner,Solcito ,4.5,Himayath Nagar,800,35% Off,Pan Asian
dinner,Ping's Café Orient,3.5,Gachibowli,1100,35% Off,European
dinner,Saz Pizzeria,4.1,Jubilee Hills,400,35% Off,Pan Asian
dinner,Tiga,4.0,Madhapur,1200,70% Off,"European, South Indian"
dinner,Chika A Coffee Collective,3.9,Kondapur,1500,35% Off,Mediterranean
dinner,Casbah,4.0,Manikonda,600,35% Off,Cafe
dinner,Mairu Bistro & Cafe,4.0,Madhapur,1000,35% Off,"Finger Food, Cocktail Menu"
dinner,Altitude,4.0,Kothapet,800,40% Off,Indian
dinner,Spice It ,4.3,Raji Reddy Nagar,500,40% Off,"Korean, Thai, Asian, Continental"
dinner,Tamasha - Restro Cafe,3.6,Jubilee Hills,1200,35% Off,Multicuisine
dinner,Jonathan's Kitchen ,2.7,Madhapur,600,35% Off,Multicuisine
dinner,Heart Cup Coffee,3.7,L B Nagar,800,40% Off,"Cocktail Menu, South Indian"
dinner,Ichata kitchen And Bar,4.9,Kukatpally,1000,35% Off,Multicuisine
dinner,Seasonal Tastes ,5.0,Kokapet,400,35% Off,Multicuisine
